AK4565,,,,
Pin,Name,Type,Side,Unit
1,LOUT,analog,left,1
2,ROUT,analog,left,1
3,INTL1,analog,left,1
4,INTR1,analog,left,1
5,INTL0,analog,left,1
6,INTR0,analog,left,1
7,EXTL,analog,left,1
8,EXTR,analog,left,1
9,LIN,analog,left,1
10,RIN,analog,left,1
11,VCOM,analog,left,1
12,AGND,pwr,left,1
13,VA,pwr,left,1
14,VREF,analog,left,1
15,VD,pwr,right,1
16,DGND,pwr,right,1
17,VT,pwr,right,1
18,SDTO0,out,right,1
19,SDTO1,out,right,1
20,SDTI,in,right,1
21,LRCK,in,right,1
22,MCLK,in,right,1
23,BCLK,in,right,1
24,CDTO,out,right,1
25,CDTI,in,right,1
26,CSN,in,right,1
27,CCLK,in,right,1
28,PDN,in,right,1
