bud_brd,,
Pin,Name,Type
1,1,pass
2,2,pass
3,3,pass
4,4,pass
5,5,pass
6,6,pass
7,7,pass
8,8,pass
9,9,pass
10,10,pass
11,11,pass
12,12,pass
13,13,pass
14,14,pass
15,15,pass
16,16,pass
17,17,pass
18,18,pass
19,19,pass
20,20,pass
21,21,pass
22,22,pass
23,23,pass
24,24,pass
25,25,pass
26,26,pass
27,27,pass
28,28,pass
29,29,pass
30,30,pass
31,31,pass
32,32,pass
33,33,pass
34,34,pass
35,35,pass
36,36,pass
37,37,pass
38,38,pass
39,39,pass
40,40,pass
41,41,pass
42,42,pass
43,43,pass
44,44,pass
45,45,pass
46,46,pass
47,47,pass
48,48,pass
49,49,pass
50,50,pass
51,51,pass
52,52,pass
53,53,pass
54,54,pass
55,55,pass
56,56,pass
57,57,pass
58,58,pass
59,59,pass
60,60,pass
61,61,pass
62,62,pass
63,63,pass
64,64,pass
65,65,pass
66,66,pass
67,67,pass
68,68,pass
69,69,pass
70,70,pass
71,71,pass
72,72,pass
