MAX2769B,,,,
Pin,Type,Name,Side,Unit
1,OUT,ANTFLAG,bottom,1
2,ANALOG,LNAOUT,bottom,1
3,POWER_OUT,ANTBIAS,bottom,1
4,POWER,VCC_RF,bottom,1
5,ANALOG,MIXIN,bottom,1
6,OUT,LD,bottom,1
7,IN,~SHDN,bottom,1
8,IN,SDATA,right,1
9,IN,SCLK,right,1
10,IN,~CS,right,1
11,POWER,VCC_VCO,right,1
12,ANALOG,CPOUT,right,1
13,POWER,VCC_CP,right,1
14,POWER,VCCD,right,1
15,ANALOG,XTAL,top,1
16,OUT,CLKOUT,top,1
17,OUT,Q1,top,1
18,OUT,Q0,top,1
19,POWER,VCC_ADC,top,1
20,OUT,I0,top,1
21,OUT,I1,top,1
22,NC,NC,left,1
23,POWER,VCC_IF,left,1
24,IN,~IDLE,left,1
25,ANALOG,LNA2,left,1
26,IN,PGM,left,1
27,ANALOG,LNA1,left,1
28,NC,NC,left,1
EP,PWR,GND,left,2
