SDRAM_16Mx16_TSOPII-54,U,TSOPII-54,
Pin,Name,Type,Side
1,VDD,pwr,left
2,DQ0,bidir,left
3,VDDQ,pwr,left
4,DQ1,bidir,left
5,DQ2,bidir,left
6,VSSQ,pwr,left
7,DQ3,bidir,left
8,DQ4,bidir,left
9,VDDQ,pwr,left
10,DQ5,bidir,left
11,DQ6,bidir,left
12,VSSQ,pwr,left
13,DQ7,bidir,left
14,VDD,pwr,left
15,LDQM,in,left
16,WE#,in,left
17,CAS#,in,left
18,RAS#,in,left
19,CS#,in,left
20,BA0,in,left
21,BA1,in,left
22,A10,in,left
23,A0,in,left
24,A1,in,left
25,A2,in,left
26,A3,in,left
27,VDD,pwr,left
28,VSS,pwr,right
29,A4,in,right
30,A5,in,right
31,A6,in,right
32,A7,in,right
33,A8,in,right
34,A9,in,right
35,A11,in,right
36,A12,in,right
37,CKE,in,right
38,CLK,in,right
39,UDQM,in,right
40,NC,NC,right
41,VSS,pwr,right
42,DQ8,bidir,right
43,VDDQ,pwr,right
44,DQ9,bidir,right
45,DQ10,bidir,right
46,VSSQ,pwr,right
47,DQ11,bidir,right
48,DQ12,bidir,right
49,VDDQ,pwr,right
50,DQ13,bidir,right
51,DQ14,bidir,right
52,VSSQ,pwr,right
53,DQ15,bidir,right
54,VSS,pwr,right
,,,
SDRAM_16Mx16_VFBGA-54,U,VFBGA-54,
Pin,Name,Type,Side
A1,VSS,pwr,left
A2,DQ15,bidir,left
A3,VSSQ,pwr,left
A7,VDDQ,pwr,left
A8,DQ0,bidir,left
A9,VDD,pwr,left
B1,DQ14,bidir,left
B2,DQ13,bidir,left
B3,VDDQ,pwr,left
B7,VSSQ,pwr,left
B8,DQ2,bidir,left
B9,DQ1,bidir,left
C1,DQ12,bidir,left
C2,DQ11,bidir,left
C3,VSSQ,pwr,left
C7,VDDQ,pwr,left
C8,DQ4,bidir,left
C9,DQ3,bidir,left
D1,DQ10,bidir,left
D2,DQ9,bidir,left
D3,VDDQ,pwr,left
D7,VSSQ,pwr,left
D8,DQ6,bidir,left
D9,DQ5,bidir,left
E1,DQ8,bidir,left
E2,NC,NC,left
E3,VSS,pwr,left
E7,VDD,pwr,left
E8,LDQM,in,left
E9,DQ7,bidir,left
F1,UDQM,in,left
F2,CLK,in,left
F3,CKE,in,left
F7,CAS#,in,left
F8,RAS#,in,left
F9,WE#,in,left
G1,A12,in,left
G2,A11,in,left
G3,A9,in,left
G7,BA0,in,left
G8,BA1,in,left
G9,CS#,in,left
H1,A8,in,left
H2,A7,in,left
H3,A6,in,left
H7,A0,in,left
H8,A1,in,left
H9,A10,in,left
J1,VSS,pwr,left
J2,A5,in,left
J3,A4,in,left
J7,A3,in,left
J8,A2,in,left
J9,VDD,pwr,left
