SDRAM_16Mx16_VFBGA,U,VFBGA_9x9
Pin,Name,Type
A1,VSS,pwr
A2,DQ15,io
A3,VSSQ,pwr
A7,VDDQ,pwr
A8,DQ0,io
A9,VDD,pwr
B1,DQ14,io
B2,DQ13,io
B3,VDDQ,pwr
B7,VSSQ,pwr
B8,DQ2,io
B9,DQ1,io
C1,DQ12,io
C2,DQ11,io
C3,VSSQ,pwr
C7,VDDQ,pwr
C8,DQ4,io
C9,DQ3,io
D1,DQ10,io
D2,DQ9,io
D3,VDDQ,pwr
D7,VSSQ,pwr
D8,DQ6,io
D9,DQ5,io
E1,DQ8,io
E2,NC,nc
E3,VSS,pwr
E7,VDD,pwr
E8,LDQM,in
E9,DQ7,io
F1,UDQM,in
F2,CLK,in
F3,CKE,in
F7,CAS#,in
F8,RAS#,in
F9,WE#,in
G1,A12,in
G2,A11,in
G3,A9,in
G7,BA0,in
G8,BA1,in
G9,CS#,in
H1,A8,in
H2,A7,in
H3,A6,in
H7,A0,in
H8,A1,in
H9,A10,in
J1,VSS,pwr
J2,A5,in
J3,A4,in
J7,A3,in
J8,A2,in
J9,VDD,pwr
