XuLA_SCK40,,,
Pin,Name,Type,Side
1,ANALOG1,passive,left
2,ANALOG0,passive,left
3,+5V,pwr_out,left
4,I/O,io,left
5,I/O,io,left
6,I/O,io,left
7,I/O,io,left
8,I/O(I),in,left
9,I/O,io,left
10,I/O,io,left
11,I/O(I),in,left
12,I/O,io,left
13,I/O,io,left
14,I/O,io,left
15,I/O,io,left
16,I/O(I),in,left
17,I/O,io,left
18,I/O,io,left
19,I/O,io,left
20,I/O,io,left
21,I/O,io,right
22,I/O,io,right
23,I/O,io,right
24,I/O(I),in,right
25,I/O,io,right
26,I/O,io,right
27,I/O,io,right
28,I/O,io,right
29,I/O,io,right
30,I/O,io,right
31,I/O(I),in,right
32,I/O,io,right
33,I/O,io,right
34,I/O(I),in,right
35,I/O,io,right
36,I/O,io,right
37,+3.3V,pwr_out,right
38,GND,pwr_out,right
39,+1.2V,pwr_out,right
40,~RESET,in,right
