CY8C4127LQI-BL4X3,,,,
,,,,
Pin,Name,Type,Unit,Side
1,VDDD,POWER,,left
2,XTAL32O/P6.0,CLOCK,,left
3,XTAL32I/P6.1,CLOCK,,left
4,XRES,INPUT,,left
5,P4.0,GPIO,4,left
6,P4.1,GPIO,4,left
7,P5.0,GPIO,5,left
8,P5.1,GPIO,5,left
9,VSSD,GROUND,,left
10,VDDR,POWER,,left
11,GANT1,GROUND,ANT,left
12,ANT,PASSIVE,ANT,left
13,GANT2,GROUND,ANT,left
14,VDDR,POWER,ANT,left
15,VDDR,POWER,ANT,bottom
16,XTAL24I,CLOCK,,bottom
17,XTAL24O,CLOCK,,bottom
18,VDDR,POWER,,bottom
19,P0.0,GPIO,0,bottom
20,P0.1,GPIO,0,bottom
21,P0.2,GPIO,0,bottom
22,P0.3,GPIO,0,bottom
23,VDDD,POWER,,bottom
24,P0.4,GPIO,0,bottom
25,P0.5,GPIO,0,bottom
26,P0.6,GPIO,0,bottom
27,P0.7,GPIO,0,bottom
28,P1.0,GPIO,1,bottom
29,P1.1,GPIO,1,right
30,P1.2,GPIO,1,right
31,P1.3,GPIO,1,right
32,P1.4,GPIO,1,right
33,P1.5,GPIO,1,right
34,P1.6,GPIO,1,right
35,P1.7,GPIO,1,right
36,VDDA,POWER,,right
37,P2.0,GPIO,2,right
38,P2.1,GPIO,2,right
39,P2.2,GPIO,2,right
40,P2.3,GPIO,2,right
41,P2.4,GPIO,2,right
42,P2.5,GPIO,2,right
43,P2.6,GPIO,2,top
44,P2.7,GPIO,2,top
45,VREF,POWER,,top
46,VDDA,POWER,,top
47,P3.0,GPIO,3,top
48,P3.1,GPIO,3,top
49,P3.2,GPIO,3,top
50,P3.3,GPIO,3,top
51,P3.4,GPIO,3,top
52,P3.5,GPIO,3,top
53,P3.6,GPIO,3,top
54,P3.7,GPIO,3,top
55,VSSA,GROUND,,top
56,VCCD,POWER,,top
57,EPAD,GROUND,,top
