ICE5-UP3K-UWG30,,,
pin,bank,type,name
E5,2,IO,IOB_0A
D5,2,IO,IOB_2A
F5,2,IO,IOB_3B_G6
E4,2,IO,IOB_9B
C3,1,IO,IOB_10A
F4,1,IO,IOB_11B_G5
F3,1,INPUT,CRESET_B
D3,1,IO,IOB_12A_G4_CDONE
E3,1,IO,IOB_13B
B1,1,IO,IOB_24A
F2,1,IO,IOB_25B_G3
F1,1,IO,IOB_32A_SPI_SO
E1,1,IO,IOB_33B_SPI_SI
D1,1,IO,IOB_34A_SPI_SCK
C1,1,IO,IOB_35B_SPI_SS
B2,,POWER,VCCPLL
A1,0,IO,IOT_36B
A2,0,IO,IOT_37A
B3,0,IO,IOT_46B_G0
A4,0,IO,IOT_47A
A5,0,IO,RGB2
B5,0,IO,RGB1
C5,0,IO,RGB0
B4,,POWER,GND
E2,,POWER,GND
C2,,POWER,VCC
A3,0,POWER,VCCIO_0
D2,1,POWER,SPI_VCCIO1
C4,2,POWER,VCCIO_2
D4,,POWER,VPP_2V5
